ESV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV6815.1426,Bacteria,Chloroflexi,Anaerolineae,midas_o_1,midas_f_813,midas_g_813,midas_s_813
ESV6816.1439,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_5037
ESV6817.1446,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_843,midas_s_1433
ESV6818.1424,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,Bauldia,midas_s_3392
ESV6819.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,midas_g_2387,midas_s_6819
ESV6820.1438,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1336,midas_s_6820
ESV6821.1446,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_6821,midas_s_6821
ESV6822.1443,Bacteria,WS1,midas_c_796,midas_o_796,midas_f_796,midas_g_2283,midas_s_2283
ESV6823.1386,Bacteria,Patescibacteria,Microgenomatia,Ca_Levybacteria,midas_f_6340,midas_g_6823,midas_s_6823
ESV6824.1485,Bacteria,Desulfobacterota,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,Syntrophorhabdus,midas_s_6824
ESV6825.1479,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_raffinolactis
ESV6826.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_306
ESV6827.1439,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Brooklawnia,midas_s_6827
ESV6828.1490,Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,midas_g_4444,midas_s_4444
ESV6829.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquincola,midas_s_6829
ESV6830.1453,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter_saccharivorans
ESV6831.1443,Bacteria,Desulfobacterota,midas_c_41,midas_o_2276,midas_f_6831,midas_g_6831,midas_s_6831
ESV6832.1477,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_1112
ESV6833.1446,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1409,midas_s_6833
ESV6834.1447,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus_lubricus_group,midas_s_3170
ESV6835.1450,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,midas_f_4482,midas_g_6835,midas_s_6835
ESV6836.1450,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,midas_g_2022,midas_s_2022
ESV6837.1499,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,midas_g_3046,midas_s_3046
ESV6838.1422,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_1469,midas_g_5903,midas_s_6838
ESV6839.1582,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Gracilibacter,midas_g_669,midas_s_669
ESV6840.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_70,midas_s_219
ESV6841.1431,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,midas_g_5022,midas_s_5022
ESV6842.1476,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,midas_g_6842,midas_s_6842
ESV6843.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_96
ESV6844.1453,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,midas_f_683,midas_g_2408,midas_s_3763
ESV6845.1435,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Micropruina,midas_s_2447
ESV6846.1448,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermovirga,midas_s_4315
ESV6847.1475,Bacteria,Acidobacteriota,Blastocatellia,DS-100,midas_f_502,midas_g_502,midas_s_502
ESV6848.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,midas_s_6848
ESV6849.1423,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,midas_g_467,midas_s_1625
ESV6850.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,midas_s_6850
ESV6851.1457,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_8,midas_s_6851
ESV6852.1478,Bacteria,Actinobacteriota,WCHB1-81,midas_o_765,midas_f_765,midas_g_765,midas_s_6852
ESV6853.1441,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,midas_g_6853,midas_s_6853
ESV6854.1499,Bacteria,Planctomycetota,Phycisphaerae,S-70,midas_f_6854,midas_g_6854,midas_s_6854
ESV6855.1476,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,midas_f_973,midas_g_973,midas_s_973
ESV6856.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga_caeni
ESV6857.1454,Bacteria,Firmicutes,midas_c_4,midas_o_4,midas_f_222,midas_g_1522,midas_s_6857
ESV6858.1478,Bacteria,Actinobacteriota,WCHB1-81,midas_o_765,midas_f_765,midas_g_765,midas_s_6790
ESV6859.1440,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,midas_s_4175
ESV6860.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,midas_s_2367
ESV6861.1452,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter_saccharivorans
ESV6862.1440,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,midas_s_6862
ESV6863.1473,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,midas_f_3092,midas_g_6863,midas_s_6863
ESV6864.1451,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Keratinibaculum,midas_g_5005,midas_s_6864
ESV6865.1446,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_6865
ESV6866.1655,Bacteria,Patescibacteria,Microgenomatia,Ca_Roizmanbacteria,midas_f_2614,midas_g_6866,midas_s_6866
ESV6867.1424,Bacteria,Chloroflexi,KD4-96,midas_o_3277,midas_f_6867,midas_g_6867,midas_s_6867
ESV6868.1478,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,midas_s_2479
ESV6869.1468,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK3A20_group,midas_s_6869
ESV6870.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,midas_g_6708,midas_s_6870
ESV6871.1480,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_saccharolyticus
ESV6872.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,midas_s_6872
ESV6873.1472,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,midas_f_2573,midas_g_3338,midas_s_6873
ESV6874.1468,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_6874
ESV6875.1455,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_1861
ESV6876.1442,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,midas_s_6876
ESV6877.1412,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_6877,midas_s_6877
ESV6878.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,Zoogloea_oleivorans
ESV6879.1476,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_172
ESV6880.1458,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,midas_g_343,midas_s_6880
ESV6881.1445,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,midas_s_6881
ESV6882.1482,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,midas_f_1187,midas_g_1187,midas_s_1187
ESV6883.1480,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,midas_s_2713
ESV6884.1463,Bacteria,Firmicutes,Limnochordia,MBA03,midas_f_112,midas_g_112,midas_s_112
ESV6885.1441,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,midas_g_249,midas_s_2374
ESV6886.1425,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,midas_g_940,midas_s_3653
ESV6887.1438,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,midas_s_6887
ESV6888.1573,Bacteria,Patescibacteria,Microgenomatia,Ca_Roizmanbacteria,midas_f_4705,midas_g_6888,midas_s_6888
ESV6889.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,midas_s_6889
ESV6890.1477,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,midas_f_2390,midas_g_6890,midas_s_6890
ESV6891.1463,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_4472
ESV6892.1417,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,midas_f_1,midas_g_1,midas_s_553
ESV6893.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_2882
ESV6894.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,midas_s_6894
ESV6895.1409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,midas_s_5625
ESV6896.1486,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,midas_f_2060,midas_g_4623,midas_s_4623
ESV6897.1451,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Keratinibaculum,midas_g_5005,midas_s_5005
ESV6898.1426,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,midas_s_1025
ESV6899.1457,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium,midas_s_1835
ESV6900.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ca_Accumulibacter,midas_s_315
ESV6901.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,midas_s_782
ESV6902.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,midas_s_6902
ESV6903.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_472
ESV6904.1459,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,midas_s_1845
ESV6905.1454,Bacteria,Firmicutes,midas_c_4,midas_o_4,midas_f_222,midas_g_1522,midas_s_6857
ESV6906.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,midas_s_3132
ESV6907.1451,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_632
ESV6908.1460,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,midas_g_6427,midas_s_6908
ESV6909.1427,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,midas_g_6909,midas_s_6909
ESV6910.1455,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_148,midas_g_515,midas_s_3899
ESV6911.1450,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,midas_g_2022,midas_s_2022
ESV6912.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_6912
ESV6913.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,midas_g_6173,midas_s_6913
ESV6914.1460,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_361
ESV6915.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,midas_s_6915
ESV6916.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,midas_s_1201
ESV6917.1446,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_6917,midas_s_6917
ESV6918.1457,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_148,midas_g_515,midas_s_515
ESV6919.1449,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,midas_g_679,midas_s_2051
ESV6920.1442,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,GWF2-29-10,midas_g_6920,midas_s_6920
ESV6921.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV6922.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax_fermentans
ESV6923.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,midas_g_153,midas_s_6923
ESV6924.1446,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Hungateiclostridium,Clostridium_sp._Bc-iso-3,midas_s_2360
ESV6925.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,midas_s_2464
ESV6926.1440,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Longivirga,midas_s_2674
ESV6927.1466,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,midas_s_6261
ESV6928.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,midas_s_5803
ESV6929.1476,Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,Syntrophomonadaceae,Syntrophomonas,midas_s_3034
ESV6930.1441,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,midas_g_327,midas_s_3563
ESV6931.1447,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,midas_s_6931
ESV6932.1429,Bacteria,Cyanobacteria,Sericytochromatia,midas_o_1421,midas_f_1572,midas_g_6932,midas_s_6932
ESV6933.1442,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_351,midas_s_4974
ESV6934.1438,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Aestuariimicrobium,midas_s_6934
ESV6935.1439,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,midas_s_6935
ESV6936.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV6937.1424,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,midas_g_467,midas_s_1462
ESV6938.1398,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_2020,midas_s_6938
ESV6939.1453,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_6939
ESV6940.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_83
ESV6941.1389,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,midas_g_155,midas_s_297
ESV6942.1480,Bacteria,Latescibacterota,midas_c_18,midas_o_753,midas_f_3713,midas_g_6942,midas_s_6942
ESV6943.1439,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_3784
ESV6944.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_2876
ESV6945.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV6946.1438,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_6946
ESV6947.1458,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_554,midas_s_1350
ESV6948.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_81,midas_s_6948
ESV6949.1478,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,midas_s_6949
ESV6950.1442,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1328,midas_s_3372
ESV6951.1484,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera_massiliensis
ESV6952.1521,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,midas_g_6952,midas_s_6952
ESV6953.1385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,midas_s_6953
ESV6954.1493,Bacteria,Planctomycetota,Phycisphaerae,Pla1_lineage,midas_f_3438,midas_g_3438,midas_s_3438
ESV6955.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,midas_s_78
ESV6956.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_1820
ESV6957.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_2138,midas_s_4521
ESV6958.1444,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,midas_g_2475,midas_s_4073
ESV6959.1596,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,midas_s_5248
ESV6960.1433,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4375,midas_g_4375,midas_s_6364
ESV6961.1475,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,midas_g_3969,midas_s_3969
ESV6962.1459,Bacteria,Firmicutes,Thermacetogenia,Thermacetogeniales,Thermacetogeniaceae,Syntrophaceticus,midas_s_1045
ESV6963.1446,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,midas_g_487,midas_s_2122
ESV6964.1463,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_4472
ESV6965.1477,Bacteria,Acidobacteriota,Subgroup_22,midas_o_28,midas_f_4502,midas_g_4502,midas_s_4502
ESV6966.1470,Bacteria,Patescibacteria,Dojkabacteria,midas_o_546,midas_f_546,midas_g_5122,midas_s_6966
ESV6967.1482,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,midas_s_2291
ESV6968.1426,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,midas_g_6140,midas_s_6140
ESV6969.1433,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_729,midas_s_2478
ESV6970.1431,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum_hungatei
ESV6971.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga_caeni
ESV6972.1475,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_3704,midas_s_3704
ESV6973.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,midas_s_877
ESV6974.1411,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,midas_f_428,midas_g_428,midas_s_5334
ESV6975.1487,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_6975,midas_s_6975
ESV6976.1448,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,midas_g_3337,midas_s_6976
ESV6977.1477,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,midas_g_2433,midas_s_2433
ESV6978.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_120,midas_s_584
ESV6979.1455,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,midas_g_6703,midas_s_6703
ESV6980.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,midas_s_4612
ESV6981.1442,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,midas_s_2123
ESV6982.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,midas_s_6500
ESV6983.1404,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,midas_s_3123
ESV6984.1392,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_6984,midas_s_6984
ESV6985.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,midas_s_6985
ESV6986.1421,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,midas_s_6986
ESV6987.1443,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_351,midas_s_1962
ESV6988.1459,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,midas_g_1023,midas_s_3631
ESV6989.1462,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,midas_s_526
ESV6990.1384,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,midas_s_6990
ESV6991.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV6992.1385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,midas_s_6992
ESV6993.1435,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_perfringens
ESV6994.1447,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,midas_s_6640
ESV6995.1450,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,midas_s_3798
ESV6996.1468,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_116,midas_g_5424,midas_s_5424
ESV6997.1455,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,IheB3-7,midas_s_1841
ESV6998.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_2138,midas_s_4521
ESV6999.1426,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_5918
ESV7000.1434,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,midas_s_2160
ESV7001.1454,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,midas_s_7001
ESV7002.1449,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_7002
ESV7003.1483,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_2104,midas_g_7003,midas_s_7003
ESV7004.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,midas_g_1716,midas_s_1716
ESV7005.1443,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_115
ESV7006.1475,Bacteria,Acidobacteriota,Blastocatellia,DS-100,midas_f_502,midas_g_502,midas_s_502
ESV7007.1457,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_148,midas_g_515,midas_s_1315
ESV7008.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_3144,midas_s_4059
ESV7009.1478,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Sandaracinus,midas_s_7009
ESV7010.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,midas_g_534,midas_s_3903
ESV7011.1462,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_4382
ESV7012.1438,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_422,midas_s_742
ESV7013.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,midas_s_180
ESV7014.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,midas_s_6848
ESV7015.1497,Bacteria,Caldatribacteriota,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,Ca_Caldatribacterium,midas_s_4106
ESV7016.1439,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_3474
ESV7017.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV7018.1494,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,midas_f_4575,midas_g_7018,midas_s_7018
ESV7019.1430,Bacteria,Desulfobacterota,midas_c_41,midas_o_2276,midas_f_5162,midas_g_7019,midas_s_7019
ESV7020.1439,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_7020
ESV7021.1434,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,midas_s_2160
ESV7022.1443,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_957,midas_s_4600
ESV7023.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,midas_g_2835,midas_s_7023
ESV7024.1440,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_2784,midas_g_2784,midas_s_2784
ESV7025.1475,Bacteria,Acidobacteriota,Blastocatellia,DS-100,midas_f_502,midas_g_502,midas_s_3734
ESV7026.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,midas_s_53
ESV7027.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Contendobacter,midas_s_981
